gene,annot
Acropora_015165,"negative regulation of retrograde protein transport, ER to cytosol"
Acropora_015174,regulation of phosphorylation of RNA polymerase II C-terminal domain
Acropora_015187,activating signal cointegrator 1 complex subunit
Acropora_015212,protein tag
Acropora_015216,-
Acropora_015225,alkaline phosphatase activity
Acropora_015243,"SH3-binding, glutamic acid-rich protein"
Acropora_015245,"Solute carrier organic anion transporter family, member"
Acropora_015254,Aldo/keto reductase family
Acropora_015271,Protein kinase C conserved region 2 (CalB)
Acropora_015272,pyruvate dehydrogenase (acetyl-transferring) activity
Acropora_015274,lactation elevated
Acropora_015276,"Protein of unknown function, DUF547"
Acropora_015278,NA
Acropora_015316,coagulation factor V
Acropora_015323,Structural maintenance of chromosomes
Acropora_015331,NA
Acropora_015337,glutathione hydrolase activity
Acropora_015349,serine-pyruvate transaminase activity
Acropora_015355,NA
Acropora_015356,NA
Acropora_015366,spectrin binding
Acropora_015369,NA
Acropora_015371,motor activity
Acropora_015375,"negative regulation of mRNA splicing, via spliceosome"
Acropora_015379,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Acropora_015389,NADP-retinol dehydrogenase activity
Acropora_015453,NA
Acropora_015454,NA
Acropora_015455,peptidyl-tryptophan modification
Acropora_015541,NA
Acropora_015559,NA
Acropora_015577,Subtilase family
Acropora_015582,NA
Acropora_015598,Belongs to the MCM family
Acropora_015611,Belongs to the peptidase M10A family
Acropora_015612,Belongs to the peptidase M10A family
Acropora_015613,NA
Acropora_015620,NA
Acropora_015678,von Willebrand factor (vWF) type A domain
Acropora_015683,cell division
Acropora_015693,activation of NF-kappaB-inducing kinase activity
Acropora_015703,phosphatidylinositol-3-phosphate binding
Acropora_015708,"Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties"
Acropora_015724,NA
Acropora_015731,NA
Acropora_015744,amine oxidase
Acropora_015765,transmembrane receptor protein tyrosine kinase activity
Acropora_015767,NA
Acropora_015785,Rac protein signal transduction
Acropora_015802,tetraterpenoid metabolic process
Acropora_015804,tetraterpenoid metabolic process
Acropora_015838,DNA strand elongation involved in nuclear cell cycle DNA replication
Acropora_015865,glutaminyl-peptide cyclotransferase activity
Acropora_015869,NA
Acropora_015875,glycine N-methyltransferase activity
Acropora_015889,calcium-dependent cysteine-type endopeptidase activity
Acropora_015915,belongs to the protein kinase superfamily
Acropora_015923,NA
Acropora_015941,NA
Acropora_015971,NA
Acropora_015975,D-glutamate cyclase activity
Acropora_015985,zinc ion binding
Acropora_016021,monocarboxylate transporter
Acropora_016031,Calmodulin
Acropora_016042,molybdopterin molybdotransferase activity
Acropora_016099,-
Acropora_016108,Attachment Protein
Acropora_016123,NA
Acropora_016155,dsRNA-gated channel SID-1
Acropora_016179,melanocortin receptor activity
Acropora_016180,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain"
Acropora_016183,NA
Acropora_016186,NA
Acropora_016205,negative regulation of inclusion body assembly
Acropora_016211,nudix (nucleoside diphosphate linked moiety X)-type motif 22
Acropora_016306,NA
Acropora_016349,Phospholipase A2
Acropora_016448,NA
Acropora_016605,Papain family cysteine protease
Acropora_016638,NA
Acropora_016696,NA
Acropora_016703,chromosome condensation
Acropora_016954,NA
Acropora_017046,NA
Acropora_017072,Ubiquitin homologues
Acropora_017124,"Leucine-rich repeats, outliers"
Acropora_017185,NA
Acropora_017193,"Tumor necrosis factor receptor superfamily, member 4"
Acropora_017276,threonine-type endopeptidase activity
Acropora_017427,NA
Acropora_017441,"N(alpha)-acetyltransferase 30, NatC catalytic subunit"
Acropora_017452,NA
Acropora_017457,"Nuclear receptor subfamily 2, group E, member 3"
Acropora_017458,double-stranded DNA 5'-3' exodeoxyribonuclease activity
Acropora_017465,NA
Acropora_017470,RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly
Acropora_017508,NA
Acropora_017524,NA
Acropora_017527,NA
Acropora_017532,NA
Acropora_017577,NA
Acropora_017608,NA
Acropora_017618,Angiopoietin-like 1
Acropora_017640,"Spondin 2b, extracellular matrix protein"
Acropora_017652,catalytic activity. It is involved in the biological process described with metabolic process
Acropora_017656,catalytic activity. It is involved in the biological process described with metabolic process
Acropora_017717,NA
Acropora_017729,protein kinase D signaling
Acropora_017740,NA
Acropora_017741,NA
Acropora_017782,NA
Acropora_017831,NA
Acropora_017850,NA
Acropora_017868,FAD-AMP lyase (cyclizing) activity
Acropora_017898,"aspartic endopeptidase activity, intramembrane cleaving"
Acropora_017921,NA
Acropora_017922,E3 ubiquitin-protein ligase synoviolin
Acropora_017935,hydrolase activity
Acropora_017995,NA
Acropora_017998,regulation of resting membrane potential
Acropora_018017,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Acropora_018053,hippo signaling
Acropora_018088,NA
Acropora_018090,orexin receptor activity
Acropora_018092,integral membrane protein
Acropora_018113,trans-2-enoyl-CoA reductase
Acropora_018143,NA
Acropora_018159,NA
Acropora_018161,Fibrosin-1-like
Acropora_018171,Signal transducer activity. It is involved in the biological process described with intracellular signal transduction
Acropora_018189,protein-disulfide reductase activity
Acropora_018272,structural constituent of ribosome
Acropora_018281,NA
Acropora_018285,NA
Acropora_018311,NA
Acropora_018312,NA
Acropora_018323,NA
Acropora_018328,Belongs to the ubiquitin-conjugating enzyme family
Acropora_018329,NA
Acropora_018339,Coiled-coil domain-containing protein 62
Acropora_018356,NA
Acropora_018368,Belongs to the G-protein coupled receptor 2 family
Acropora_018387,NADH ubiquinone oxidoreductase 11.5kD subunit
Acropora_018391,negative regulation of translational initiation in response to stress
Acropora_018491,Transcription factor
Acropora_018497,ethanolaminephosphotransferase activity
Acropora_018504,NA
Acropora_018507,NA
Acropora_018536,positive regulation of protein glycosylation in Golgi
Acropora_018539,NA
Acropora_018567,Animal haem peroxidase
Acropora_018568,peroxidase activity
Acropora_018569,Animal haem peroxidase
Acropora_018570,Animal haem peroxidase
Acropora_018571,Animal haem peroxidase
Acropora_018585,acetate-CoA ligase activity
Acropora_018586,ankyrin repeats
Acropora_018596,NA
Acropora_018636,"Taurine catabolism dioxygenase TauD, TfdA family"
Acropora_018663,NA
Acropora_018664,"Platelet-derived and vascular endothelial growth factors (PDGF, VEGF) family"
Acropora_018665,NA
Acropora_018667,Arf GTPase-activating protein
Acropora_018742,histone H4-K20 monomethylation
Acropora_018763,aspartate dehydrogenase activity
Acropora_018778,hydrolase activity
Acropora_018801,ISXO2-like transposase domain
Acropora_018908,NA
Acropora_018932,NA
Acropora_018975,NA
Acropora_019115,NA
Acropora_019192,EP4 subtype prostaglandin E2 receptor binding
Acropora_019204,negative regulation of Schwann cell proliferation
Acropora_019223,"Broad-Complex, Tramtrack and Bric a brac"
Acropora_019379,NA
Acropora_019381,NA
Acropora_019387,NA
Acropora_019388,Belongs to the small GTPase superfamily. Arf family
Acropora_019391,Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks
Acropora_019417,NA
Acropora_019423,Calcium- and
Acropora_019447,10-hydroxy-9-(phosphonooxy)octadecanoate phosphatase activity
Acropora_019462,NA
Acropora_019471,nitric-oxide synthase activity
Acropora_019472,nitric-oxide synthase activity
Acropora_019486,NA
Acropora_019503,Replication factor c
Acropora_019504,leukocyte migration involved in immune response
Acropora_019518,cytosine C-5 DNA demethylase activity
Acropora_019553,UPF0378 protein KIAA0100 homolog
Acropora_019557,poly(U) RNA binding
Acropora_019641,"Ubiquinol-cytochrome c reductase, complex III subunit X"
Acropora_019648,NA
Acropora_019673,positive regulation of cardioblast differentiation
Acropora_019676,BRCA1 interacting protein C-terminal helicase 1
Acropora_019729,NA
Acropora_019735,NA
Acropora_019745,NA
Acropora_019749,glycoside hydrolase family 63
Acropora_019776,carbonic anhydrase
Acropora_019784,F-box LRR-repeat protein
Acropora_019815,Belongs to the peptidase C14A family
Acropora_019833,regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
Acropora_019859,NA
Acropora_019861,NA
Acropora_019862,"Domain in meprin, A5, receptor protein tyrosine phosphatase mu (and others)"
Acropora_019866,Trypsin-like serine protease
Acropora_019879,phosphoprotein phosphatase activity
Acropora_019886,interleukin-5 receptor binding
Acropora_019898,peptidase inhibitor activity
Acropora_019916,double-stranded RNA-specific ribonuclease activity
Acropora_019923,Centromere protein J
Acropora_019933,Ligand-gated ion channel
Acropora_019935,NA
Acropora_019936,Tissue factor pathway inhibitor
Acropora_019956,NA
Acropora_019972,NA
Acropora_020019,NAADP-sensitive calcium-release channel activity
Acropora_020031,regulation of cellular response to hypoxia
Acropora_020056,Ankyrin repeats (many copies)
Acropora_020070,phosphatidylserine decarboxylase activity
Acropora_020078,Glycosyltransferase 1 domain-containing protein 1
Acropora_020084,Vitamin B6 photo-protection and homoeostasis
Acropora_020090,Small G protein signaling modulator
Acropora_020091,NA
Acropora_020093,"RAB35, member RAS oncogene family"
Acropora_020097,"coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway"
Acropora_020114,Cytochrome c oxidase subunit
Acropora_020127,Functions as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
Acropora_020139,NA
Acropora_020145,snRNA import into nucleus
Acropora_020149,calcium-transporting ATPase activity
Acropora_020158,NA
Acropora_020180,DNA synthesis involved in DNA repair
Acropora_020185,NA
Acropora_020189,NA
Acropora_020194,NA
Acropora_020199,LON peptidase N-terminal domain and RING finger
Acropora_020227,NA
Acropora_020250,fibroblast growth factor-activated receptor activity
Acropora_020325,transcription by RNA polymerase III
Acropora_020327,NA
Acropora_020387,Metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Acropora_020397,Pbx knotted 1 homeobox
Acropora_020442,cobalamin catabolic process
Acropora_020444,NA
Acropora_020445,NA
Acropora_020448,Zona pellucida (ZP) domain
Acropora_020449,NA
Acropora_020487,NA
Acropora_020521,cell adhesion
Acropora_020528,NA
Acropora_020554,"ATPase activity, coupled to transmembrane movement of substances"
Acropora_020558,erythroblast transformation specific domain
Acropora_020568,"nucleotide-excision repair, DNA gap filling"
Acropora_020574,NA
Acropora_020578,NA
Acropora_020594,positive regulation of translation initiation in response to endoplasmic reticulum stress
Acropora_020611,NA
Acropora_020612,NA
Acropora_020615,NA
Acropora_020616,NADPH:quinone reductase activity
Acropora_020619,regulation of nitric oxide metabolic process
Acropora_020621,B-cell CLL lymphoma 3
Acropora_020645,-
Acropora_020750,NA
Acropora_020780,fibroblast growth factor-activated receptor activity
Acropora_020809,NA
Acropora_020832,Mediates cleavage of dimethlysulfonioproprionate (DMSP) into dimethyl sulfide (DMS) and acrylate. DMS is the principal form by which sulfur is transported from oceans to the atmosphere and is a key component of the ocean sulfur cycle
Acropora_020840,L-glutamate import across plasma membrane
Acropora_021100,NA
Acropora_021124,NA
Acropora_021159,regulation of mitotic spindle assembly
Acropora_021170,NA
Acropora_021251,NA
Acropora_021305,NA
Acropora_021455,NA
Acropora_021462,NA
Acropora_021510,NA
Acropora_021531,NA
Acropora_021660,Amyloid beta (A4)
Acropora_021686,protein localization to nucleoplasm
Acropora_021694,NA
Acropora_021721,NA
Acropora_021724,S-formylglutathione hydrolase activity
Acropora_021734,thioesterase binding
Acropora_021763,Rho guanyl-nucleotide exchange factor activity
Acropora_021769,NA
Acropora_021802,pre-mRNA 3'-splice site binding
Acropora_021842,NA
Acropora_021844,NA
Acropora_021845,NA
Acropora_021882,NA
Acropora_021893,NA
Acropora_021909,NAD(P)H-binding
Acropora_021915,Major Facilitator Superfamily
Acropora_021947,NA
Acropora_022001,NA
Acropora_022003,NA
Acropora_022017,NA
Acropora_022027,WASH complex subunit
Acropora_022031,"the binding appears to require additional receptor determinants exposed only in the active receptor conformation. The beta-arrestins target many receptors for internalization by acting as endocytic adapters (CLASPs, clathrin-associated sorting proteins) and recruiting the GPRCs to the adapter protein 2 complex 2 (AP-2) in clathrin-coated pits (CCPs). However, the extent of beta-arrestin involvement appears to vary significantly depending on the receptor, agonist and cell type. Internalized arrestin-receptor complexes traffic to intracellular endosomes, where they remain uncoupled from G-proteins. Two different modes of arrestin-mediated internalization occur. Class A receptors, like ADRB2, OPRM1, ENDRA, D1AR and ADRA1B dissociate from beta- arrestin at or near the plasma membrane and undergo rapid recycling. Class B receptors, like AVPR2, AGTR1, NTSR1, TRHR and TACR1 internalize as a complex with arrestin and traffic with it to endosomal vesicles, presumably as desensitized receptors, for extended periods of time. Receptor resensitization then requires that receptor-bound arrestin is removed so that the receptor can be dephosphorylated and returned to the plasma membrane. Involved in internalization of P2RY4 and UTP-stimulated internalization of P2RY2. Involved in phosphorylation-dependent internalization of OPRD1 ands subsequent recycling. Involved in the degradation of cAMP by recruiting cAMP phosphodiesterases to ligand-activated receptors. Beta-arrestins function as multivalent adapter proteins that can switch the GPCR from a G-protein signaling mode that transmits short-lived signals from the plasma membrane via small molecule second messengers and ion channels to a beta-arrestin signaling mode that transmits a distinct set of signals that are initiated as the receptor internalizes and transits the intracellular compartment. Acts as signaling scaffold for MAPK pathways such as MAPK1 3 (ERK1 2). ERK1 2 activated by the beta- arrestin scaffold is largely excluded from the nucleus and confined to cytoplasmic locations such as endocytic vesicles, also called beta-arrestin signalosomes. Recruits c-Src SRC to ADRB2 resulting in ERK activation. GPCRs for which the beta-arrestin- mediated signaling relies on both ARRB1 and ARRB2 (codependent regulation) include ADRB2, F2RL1 and PTH1R. For some GPCRs the beta-arrestin-mediated signaling relies on either ARRB1 or ARRB2 and is inhibited by the other respective beta-arrestin form (reciprocal regulation). Inhibits ERK1 2 signaling in AGTR1- and AVPR2-mediated activation (reciprocal regulation). Is required for SP-stimulated endocytosis of NK1R and recruits c-Src SRC to internalized NK1R resulting in ERK1 2 activation, which is required for the antiapoptotic effects of SP. Is involved in proteinase-activated F2RL1-mediated ERK activity. Acts as signaling scaffold for the AKT1 pathway. Is involved in alpha- thrombin-stimulated AKT1 signaling. Is involved in IGF1-stimulated AKT1 signaling leading to increased protection from apoptosis. Involved in activation of the p38 MAPK signaling pathway and in actin bundle formation. Involved in F2RL1-mediated cytoskeletal rearrangement and chemotaxis. Involved in AGTR1-mediated stress fiber formation by acting together with GNAQ to activate RHOA. Appears to function as signaling scaffold involved in regulation of MIP-1-beta-stimulated CCR5-dependent chemotaxis. Involved in attenuation of NF-kappa-B-dependent transcription in response to GPCR or cytokine stimulation by interacting with and stabilizing CHUK. May serve as nuclear messenger for GPCRs. Involved in OPRD1- stimulated transcriptional regulation by translocating to CDKN1B and FOS promoter regions and recruiting EP300 resulting in acetylation of histone H4. Involved in regulation of LEF1 transcriptional activity via interaction with DVL1 and or DVL2 Also involved in regulation of receptors other than GPCRs. Involved in Toll-like receptor and IL-1 receptor signaling through the interaction with TRAF6 which prevents TRAF6 autoubiquitination and oligomerization required for activation of NF-kappa-B and JUN"
Acropora_022046,Restriction endonuclease
Acropora_022060,Protein tyrosine kinase
Acropora_022061,"ADAM metallopeptidase with thrombospondin type 1 motif, 7"
Acropora_022069,Ligand for members of the frizzled family of seven transmembrane receptors
Acropora_022094,NA
Acropora_022098,UFM1 transferase activity
Acropora_022139,NA
Acropora_022152,Electron transfer flavoprotein subunit
Acropora_022154,NA
Acropora_022173,Rhomboid domain containing 1
Acropora_022177,mRNA-containing ribonucleoprotein complex export from nucleus
Acropora_022190,NA
Acropora_022221,member RAS oncogene family
Acropora_022244,NA
Acropora_022251,NA
Acropora_022254,NA
Acropora_022267,NA
Acropora_022287,Rho guanyl-nucleotide exchange factor activity
Acropora_022295,NA
Acropora_022304,deadenylation-dependent decapping of nuclear-transcribed mRNA
Acropora_022364,-
Acropora_022365,-
Acropora_022389,ubiquitin-like protein ligase activity
Acropora_022410,"Microtubule associated monooxygenase, calponin and LIM domain containing"
Acropora_022419,"regulation of ATP-dependent microtubule motor activity, plus-end-directed"
Acropora_022425,NA
Acropora_022441,NA
Acropora_022453,protein monoubiquitination
Acropora_022467,positive regulation of protein monoubiquitination
Acropora_022469,mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity
Acropora_022491,NA
Acropora_022494,aryl hydrocarbon receptor activity
Acropora_022516,kinase 1
Acropora_022518,NA
Acropora_022519,mitochondrion organization
Acropora_022527,NA
Acropora_022535,ATP binding
Acropora_022536,belongs to the actin family
Acropora_022546,kinetochore binding
Acropora_022550,PLAC8 family
Acropora_022555,Helicase with zinc finger
Acropora_022562,nuclear receptor transcription coactivator activity
Acropora_022572,NA
Acropora_022576,ATP binding
Acropora_022592,Ubiquitin homologues
Acropora_022601,phosphomannomutase activity
Acropora_022625,single-stranded DNA 3'-5' exodeoxyribonuclease activity
Acropora_022631,Dermatopontin
Acropora_022633,NA
Acropora_022681,retrograde trans-synaptic signaling by lipid
Acropora_022693,response to estrogen
Acropora_022697,transferase activity
Acropora_022706,Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
Acropora_022711,motor activity
Acropora_022725,transducer of ERBB2
Acropora_022727,Okazaki fragment processing involved in mitotic DNA replication
Acropora_022756,NA
Acropora_022768,guanylate cyclase activity
Acropora_022802,cellular calcium ion homeostasis
Acropora_022805,NA
Acropora_022818,mitotic spindle assembly
Acropora_022839,Belongs to the enoyl-CoA hydratase isomerase family
Acropora_022862,NA
Acropora_022952,intracellular chloride channel activity
Acropora_022962,(R)-3-amino-2-methylpropionate-pyruvate transaminase activity
Acropora_022980,NA
Acropora_022983,low voltage-gated calcium channel activity
Acropora_022990,steroid hormone mediated signaling pathway
Acropora_022992,BPTI/Kunitz family of serine protease inhibitors.
Acropora_023060,Spermatogenesis-associated protein 20
Acropora_023076,NA
Acropora_023086,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
Acropora_023089,NA
Acropora_023112,Histone H2A
Acropora_023157,NA
Acropora_023231,NA
Acropora_023233,"oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor"
Acropora_023258,NA
Acropora_023344,Methyltransferase domain
Acropora_023486,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family
Acropora_023497,Sodium-driven chloride bicarbonate exchanger
Acropora_023517,NA
Acropora_023530,sequence-specific DNA binding
Acropora_023532,TeTratriCopeptide repeat
Acropora_023546,Calcium ion binding
Acropora_023554,"Fibrinogen beta and gamma chains, C-terminal globular domain"
Acropora_023563,NA
Acropora_023576,Myelin regulatory factor
Acropora_023577,microtubule plus-end binding
Acropora_023597,Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
Acropora_023605,NA
Acropora_023606,NA
Acropora_023617,negative regulation of fibroblast apoptotic process
Acropora_023624,deoxyribonucleoside 5'-monophosphate N-glycosidase activity
Acropora_023641,fibroblast growth factor-activated receptor activity
Acropora_023652,NA
Acropora_023653,NA
Acropora_023661,DEAD/DEAH box helicase
Acropora_023665,cellular developmental process
Acropora_023677,NA
Acropora_023691,NA
Acropora_023692,NA
Acropora_023702,NA
Acropora_023713,7 transmembrane receptor (rhodopsin family)
Acropora_023771,chromatin binding
Acropora_023780,"Signal peptide, CUB and EGF-like domain-containing protein 3"
Acropora_023791,Beta-eliminating lyase
Acropora_023865,Activating transcription factor 4b1 (tax-responsive enhancer element B67)
Acropora_023876,NA
Acropora_023881,protein side chain deglutamylation
Acropora_023882,G-protein coupled receptor activity
Acropora_023892,Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
Acropora_023911,Endoribonuclease XendoU
Acropora_023920,NA
Acropora_023921,sequence-specific DNA binding
Acropora_023922,sequence-specific DNA binding
Acropora_023960,Toll-like receptor
Acropora_023961,NA
Acropora_023989,1-phosphatidylinositol-4-phosphate 5-kinase activity
Acropora_023998,cAMP-dependent protein kinase regulator activity
Acropora_024005,lipoprotein receptor-related protein
Acropora_024010,"coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway"
Acropora_024034,response to abiotic stimulus
Acropora_024044,-
Acropora_024077,ammonium transmembrane transporter activity
Acropora_024135,BTB/POZ domain
Acropora_024139,regulation of vesicle fusion
Acropora_024147,alpha-protein kinase 1
Acropora_024234,Transmembrane protein 87A
Acropora_024236,NA
Acropora_024297,Src homology 2 domains
Acropora_024312,Cellulase (glycosyl hydrolase family 5)
Acropora_024326,negative regulation of motor neuron migration
Acropora_024354,NA
Acropora_024384,NFX1-type zinc finger-containing protein
Acropora_024402,membrane addition at site of cytokinesis
Acropora_024417,actin filament severing
Acropora_024488,organic anion transmembrane transporter activity
Acropora_024489,endoribonuclease activity
Acropora_024526,Transcription factor
Acropora_024577,NA
Acropora_024716,NA
Acropora_024846,arachidonic acid secretion
Acropora_024902,"Eukaryotic translation initiation factor 2, subunit"
Acropora_024933,"Solute carrier family 35, member G1"
Acropora_024937,"spectrin, beta"
Acropora_024955,NA
Acropora_025074,NA
Acropora_025268,DNA binding
Acropora_025279,NA
Acropora_025340,NA
Acropora_025532,NA
Acropora_025640,NA
Acropora_025675,Centrosomal protein
Acropora_025713,NA
Acropora_025797,heterochromatin maintenance
Acropora_025840,GPCR-Autoproteolysis INducing (GAIN) domain
Acropora_025851,Mediates cleavage of dimethlysulfonioproprionate (DMSP) into dimethyl sulfide (DMS) and acrylate. DMS is the principal form by which sulfur is transported from oceans to the atmosphere and is a key component of the ocean sulfur cycle
Acropora_025852,Mediates cleavage of dimethlysulfonioproprionate (DMSP) into dimethyl sulfide (DMS) and acrylate. DMS is the principal form by which sulfur is transported from oceans to the atmosphere and is a key component of the ocean sulfur cycle
Acropora_025853,Mediates cleavage of dimethlysulfonioproprionate (DMSP) into dimethyl sulfide (DMS) and acrylate. DMS is the principal form by which sulfur is transported from oceans to the atmosphere and is a key component of the ocean sulfur cycle
Acropora_025881,NA
Acropora_025907,transcription corepressor activity
Acropora_025932,NA
Acropora_025935,heterogeneous nuclear ribonucleoprotein
Acropora_025938,NA
Acropora_025968,Toll - interleukin 1 - resistance
Acropora_026008,Belongs to the SNF7 family
Acropora_026034,intra-Golgi vesicle-mediated transport
Acropora_026035,negative regulation of nuclease activity
Acropora_026047,Calcium ion binding. It is involved in the biological process described with protein folding
Acropora_026067,NA
Acropora_026070,Involved in the regulation of homocysteine metabolism
Acropora_026074,NA
Acropora_026079,Protein kinase C conserved region 2 (CalB)
Acropora_026081,Protein kinase C conserved region 2 (CalB)
Acropora_026111,NA
Acropora_026122,identical protein binding
Acropora_026140,phosphatidylinositol phospholipase C activity
Acropora_026170,NA
Acropora_026180,7S RNA binding
Acropora_026215,endoplasmic reticulum
Acropora_026219,NA
Acropora_026227,appendage morphogenesis
Acropora_026237,"posttranslational protein targeting to membrane, translocation"
Acropora_026248,"Filamin C, gamma"
Acropora_026255,calcium ion export across plasma membrane
Acropora_026256,Spermatogenesis-associated serine-rich protein 2
Acropora_026260,unfolded protein binding
Acropora_026262,DNA-binding transcription factor activity
Acropora_026280,"ATPase activity, coupled to transmembrane movement of substances"
Acropora_026287,MAP kinase kinase kinase activity
Acropora_026310,protein disulfide isomerase activity
Acropora_026312,positive regulation of interleukin-13 biosynthetic process
Acropora_026329,trypsinogen activation
Acropora_026340,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit
Acropora_026342,NA
Acropora_026353,glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity
Acropora_026358,adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
Acropora_026368,Guanylate kinase
Acropora_026399,translocation of peptides or proteins into other organism involved in symbiotic interaction
Acropora_026400,protein transport
Acropora_026402,transcription elongation from RNA polymerase II promoter
Acropora_026407,protein homodimerization activity
Acropora_026408,RNA splicing
Acropora_026409,Structural maintenance of chromosomes flexible hinge
Acropora_026428,guanine/thymine mispair binding
Acropora_026447,adenylate cyclase-activating G-protein coupled receptor signaling pathway
Acropora_026456,NA
Acropora_026464,ATPase inhibitor activity
Acropora_026478,NA
Acropora_026535,NA
Acropora_026566,NA
Acropora_026577,chitinase activity
Acropora_026580,zinc ion binding
Acropora_026585,NA
Acropora_026588,thick ascending limb development
Acropora_026604,NA
Acropora_026622,NA
Acropora_026628,NA
Acropora_026630,scavenger receptor activity
Acropora_026636,NA
Acropora_026637,NA
Acropora_026652,oxoglutarate dehydrogenase (succinyl-transferring) activity
Acropora_026654,positive regulation of interleukin-4-mediated signaling pathway
Acropora_026655,NA
Acropora_026670,NA
Acropora_026671,scavenger receptor activity
Acropora_026677,NA
Acropora_026722,NA
Acropora_026736,NA
Acropora_026747,"Essential component of the TIM23 complex, a complex that mediates the translocation of transit peptide-containing proteins across the mitochondrial inner membrane"
Acropora_026755,medium-chain fatty acid-CoA ligase activity
Acropora_026785,subunit beta-like
Acropora_026791,fibroblast growth factor
Acropora_026799,NA
Acropora_026807,peptidyl-tRNA hydrolase
Acropora_026811,Belongs to the SKP1 family
Acropora_026815,NA
Acropora_026847,NA
Acropora_026850,NA
Acropora_026909,NA
Acropora_026935,translation elongation factor activity
Acropora_027012,NA
Acropora_027029,glutathione transferase activity
Acropora_027061,pericentric heterochromatin assembly
Acropora_027106,NA
Acropora_027152,Pentafunctional AROM polypeptide-like
Acropora_027272,G-protein coupled receptor activity
Acropora_027295,"Constitutes one of the two catalytic subunit of the tRNA-splicing endonuclease complex, a complex responsible for identification and cleavage of the splice sites in pre-tRNA. It cleaves pre-tRNA at the 5'- and 3'-splice sites to release the intron. The products are an intron and two tRNA half-molecules bearing 2',3'-cyclic phosphate and 5'-OH termini. There are no conserved sequences at the splice sites, but the intron is invariably located at the same site in the gene, placing the splice sites an invariant distance from the constant structural features of the tRNA body"
Acropora_027347,Zinc finger protein
Acropora_027348,ubiquitin binding
Acropora_027374,ribosome biogenesis
Acropora_027377,NA
Acropora_027414,Coiled-coil
Acropora_027417,NA
Acropora_027515,ubiquitin-protein transferase activity
Acropora_027521,Mindbomb E3 ubiquitin protein ligase 2
Acropora_027532,NA
Acropora_027533,NA
Acropora_027542,"ATPase activity, coupled to transmembrane movement of substances"
Acropora_027552,adenylate cyclase-activating G-protein coupled receptor signaling pathway
Acropora_027592,NA
Acropora_027597,NA
Acropora_027691,NA
Acropora_027695,interferon regulatory factor 1
Acropora_027708,NA
Acropora_027727,NA
Acropora_027735,NA
Acropora_027738,metalloendopeptidase activity
Acropora_027748,NA
Acropora_027752,amyloid precursor protein metabolic process
Acropora_027774,NA
Acropora_027789,embryonic brain development
Acropora_027863,-
Acropora_027872,Neural cell adhesion molecule
Acropora_027873,NA
Acropora_027874,Nucleoporin-like protein 2
Acropora_027919,organic anion transmembrane transporter activity
Acropora_027933,Marginal zone B and
Acropora_027946,NA
Acropora_027954,dolichyl-phosphate-mannose-protein mannosyltransferase activity
Acropora_027956,Impact RWD domain protein
Acropora_027974,methylated-DNA-[protein]-cysteine S-methyltransferase activity
Acropora_028049,X-ray repair cross-complementing protein 5
Acropora_028096,NA
Acropora_028098,NA
Acropora_028103,glucose:sodium symporter activity
Acropora_028115,regulation of calcium-mediated signaling
Acropora_028118,zinc ion binding
Acropora_028139,calcium ion transport
Acropora_028171,NA
Acropora_028212,calcium ion transport
Acropora_028224,Mesencephalic astrocyte-derived neurotrophic factor
Acropora_028245,DDB1 and CUL4 associated factor 1
Acropora_028264,regulation of actin phosphorylation
Acropora_028271,NA
Acropora_028277,14-3-3 protein binding
Acropora_028286,"Translocon-associated protein, delta subunit precursor (TRAP-delta)"
Acropora_028331,NA
Acropora_028337,regulation of mitotic cell cycle
Acropora_028339,NA
Acropora_028347,regulation of CD40 signaling pathway
Acropora_028383,lysosomal lumen pH elevation
Acropora_028386,NA
Acropora_028397,Tubulin gamma complex associated protein 6
Acropora_028406,regulation of mitotic cell cycle
Acropora_028438,NA
Acropora_028463,NA
Acropora_028480,helix loop helix domain
